row;mes;T. media  (C);T. min  (C);T. max (C);Precipitacion (mm);Humedad (%);Dias Luviosos (dias);Horas de Sol (h)
1;Enero;10.5;6.5;15.1;10.3;74.0;10.0;6.1
2;Febrero;11.0;6.7;15.8;77.0;73.0;8.0;6.1
3;Marzo;8.5;5.0;12.8;108.0;79.0;9.0;4.8
4;Abril;5.4;2.4;9.2;132.0;85.0;11.0;3.6
5;Mayo;2.3;0.0;5.4;161.0;90.0;13.0;2.6
6;Junio;-0.5;-2.7;2.3;176.0;92.0;13.0;2.4
7;Julio;-1.1;-3.4;1.9;158.0;90.0;13.0;2.7
8;Agosto;0.2;-2.3;3.5;171.0;87.0;13.0;3.4
9;Septiembre;1.9;-1.0;5.7;110.0;83.0;11.0;4.1
10;Octubre;3.9;0.4;8.2;134.0;80.0;12.0;4.7
11;Noviembre;6.3;2.4;10.8;133.0;77.0;12.0;5.0
12;Diciembre;9.0;5.1;13.5;126.0;74.0;11.0;5.6
